Node,Node Name,Appear in
"('UBERON:0001891', ())",midbrain,ApiNATOMY
"('ILX:0738432', ())",Sixth lumbar spinal cord segment,ApiNATOMY
"('UBERON:0002857', ())",first lumbar dorsal root ganglion,ApiNATOMY
"('UBERON:0002856', ())",second lumbar dorsal root ganglion,ApiNATOMY
"('UBERON:0001893', ())",telencephalon,ApiNATOMY
"('UBERON:0000988', ())",pons,ApiNATOMY
"('ILX:0777093', ())",L6 - S1 interganglionic segment of the sympathetic chain,ApiNATOMY
"('UBERON:0002384', ('UBERON:0006082',))",connective tissue IN fundus of urinary bladder,ApiNATOMY
"('ILX:0777091', ())",L4 - L5 interganglionic segment,ApiNATOMY
"('ILX:0777087', ())",T13 - L1 interganglionic segment of the sympathetic chain,ApiNATOMY
"('ILX:0777090', ())",L3 - L4 interganglionic segment,ApiNATOMY
"('ILX:0777086', ())",T12 - T13 interganglionic segment of the sympathetic chain,ApiNATOMY
"('ILX:0777092', ())",L5 - L6 interganglionic segment,ApiNATOMY
"('UBERON:0002384', ('UBERON:0001258',))",connective tissue IN neck of urinary bladder,ApiNATOMY
"('ILX:0777089', ())",L2 - L3 interganglionic segment,ApiNATOMY
"('ILX:0777088', ())",L1 - L2 interganglionic segment,ApiNATOMY
"('ILX:0793615', ())",ventral root of the sixth lumbar spinal cord segment,ApiNATOMY
"('ILX:0792853', ())",ventral root of the first sacral spinal cord segment,ApiNATOMY
"('UBERON:0035965', ('ILX:0793664',))",wall of blood vessel IN Arteriole in connective tissue of bladder dome,ApiNATOMY
"('ILX:0793221', ())",white communicating ramus of second lumbar spinal nerve,ApiNATOMY
"('UBERON:0002860', ())",first sacral dorsal root ganglion,ApiNATOMY
"('ILX:0793360', ())",sixth lumbar dorsal root ganglion,ApiNATOMY
"('ILX:0787015', ())",Eleventh thoracic ganglion,ApiNATOMY
"('ILX:0793219', ())",white communicating ramus of thirteenth thoracic spinal nerve,ApiNATOMY
"('ILX:0784569', ())",Tenth thoracic ganglion,ApiNATOMY
"('ILX:0785067', ())",gray communicating ramus of eleventh thoracic nerve,ApiNATOMY
"('ILX:0785825', ())",gray communicating ramus of first lumbar nerve,ApiNATOMY
"('ILX:0793214', ())",white communicating ramus of eighth thoracic spinal nerve,ApiNATOMY
"('ILX:0785542', ())",gray communicating ramus of ninth thoracic nerve,ApiNATOMY
"('ILX:0791932', ())",ventral root of the ninth thoracic spinal cord segment,ApiNATOMY
"('ILX:0793216', ())",white communicating ramus of tenth thoracic spinal nerve,ApiNATOMY
"('ILX:0785421', ())",ventral root of the first lumbar spinal cord segment,ApiNATOMY
"('UBERON:0006455', ())",seventh thoracic spinal cord segment,ApiNATOMY
"('ILX:0788771', ())",gray communicating ramus of seventh thoracic nerve,ApiNATOMY
"('ILX:0739298', ())",gray communicating ramus of twelfth thoracic nerve,ApiNATOMY
"('ILX:0787082', ())",gray communicating ramus of the first thoracic nerve,ApiNATOMY
"('UBERON:0003715', ())",splanchnic nerve,ApiNATOMY
"('ILX:0793213', ())",white communicating ramus of seventh thoracic spinal nerve,ApiNATOMY
