Node,Node Name,Appear in
"('UBERON:0007240', ('UBERON:0001496',))",tunica adventitia of artery IN ascending aorta,"ilxtr:neuron-type-aacar-11
ilxtr:neuron-type-aacar-12"
"('ILX:0777094', ())",T1 - T2 interganglionic segment of the sympathetic chain,ilxtr:neuron-type-aacar-5
"('ILX:0777096', ())",T3 - T4 interganglionic segment of the sympathetic chain,ilxtr:neuron-type-aacar-5
"('ILX:0793363', ())",Interganglionic branch of inferior cervical ganglion to vertebral ganglion,ilxtr:neuron-type-aacar-5
"('ILX:0785971', ())",ventral root of the fifth sacral spinal cord segment,ilxtr:neuron-type-aacar-5
"('ILX:0793233', ())",Interganglionic branch of inferior cervical ganglion to first thoracic ganglion,ilxtr:neuron-type-aacar-5
"('ILX:0777098', ())",T5 - T6 interganglionic segment of the sympathetic chain,ilxtr:neuron-type-aacar-5
"('ILX:0777097', ())",T4 - T5 interganglionic segment of the sympathetic chain,ilxtr:neuron-type-aacar-5
"('ILX:0793234', ())",Interganglionic branch of inferior cervical ganglion to middle cervical ganglion,ilxtr:neuron-type-aacar-5
"('ILX:0777095', ())",T2 - T3 interganglionic segment of the sympathetic chain,ilxtr:neuron-type-aacar-5
"('ILX:0793550', ())",mediastinal ganglion,"ilxtr:neuron-type-aacar-6
ilxtr:neuron-type-aacar-5"
"('ILX:0738371', ())",Rexed Lamina VII of T1,"ilxtr:neuron-type-bolew-unbranched-2
ilxtr:neuron-type-bolew-unbranched-3
ilxtr:neuron-type-bolew-unbranched-6
ilxtr:neuron-type-bolew-unbranched-1
ilxtr:neuron-type-bolew-unbranched-7"
"('ILX:0793357', ())",Thirteenth thoracic spinal cord segment,"ilxtr:neuron-type-bromo-1
ilxtr:neuron-type-keast-20
ilxtr:neuron-type-sdcol-c
ilxtr:sparc-nlp/semves/5"
"('UBERON:0016578', ('ILX:0793357',))",lamina VII of gray matter of spinal cord IN Thirteenth thoracic spinal cord segment,"ilxtr:neuron-type-bromo-1
ilxtr:neuron-type-sdcol-c"
"('UBERON:0035965', ('ILX:0793664',))",wall of blood vessel IN Arteriole in connective tissue of bladder dome,"ilxtr:neuron-type-keast-11
ilxtr:neuron-type-keast-4
ilxtr:neuron-type-keast-10"
"('UBERON:0035965', ('ILX:0793663',))",wall of blood vessel IN Arteriole in connective tissue of bladder neck,"ilxtr:neuron-type-keast-11
ilxtr:neuron-type-keast-4
ilxtr:neuron-type-keast-10"
"('UBERON:0005734', ('UBERON:0001182',))",tunica adventitia of blood vessel IN superior mesenteric artery,ilxtr:neuron-type-pancr-2
"('ILX:0793673', ())",Nerve plexus in adventitia of splenic artery,ilxtr:neuron-type-pancr-2
"('UBERON:0005734', ('UBERON:0001194',))",tunica adventitia of blood vessel IN splenic artery,ilxtr:neuron-type-pancr-2
"('UBERON:0005734', ('UBERON:0006637',))",tunica adventitia of blood vessel IN celiac trunk,ilxtr:neuron-type-pancr-2
"('ILX:0793676', ())",nerve plexus in adventitia of hepatic artery,ilxtr:neuron-type-pancr-2
"('ILX:0793674', ())",nerve plexus in adventitia of inferior pancreaticoduodenal artery,ilxtr:neuron-type-pancr-2
"('UBERON:0005734', ('UBERON:0001193',))",tunica adventitia of blood vessel IN hepatic artery,ilxtr:neuron-type-pancr-2
"('UBERON:0005734', ('UBERON:0001195',))",tunica adventitia of blood vessel IN inferior pancreaticoduodenal artery,ilxtr:neuron-type-pancr-2
