Neuron NPO,Completeness,Missing Nodes,Missing Node Name,Missing Edges,Missing Edge Name,Missing Segments,Missing Segment Name,Rendered Edges,Rendered Edge Name
ilxtr:neuron-type-bolew-unbranched-22,complete,,,,,,,,
ilxtr:neuron-type-sstom-2,complete,,,,,,,,
ilxtr:neuron-type-bolew-unbranched-23,complete,,,,,,,,
ilxtr:neuron-type-bolew-unbranched-24,complete,,,,,,,,
ilxtr:sparc-nlp/semves/3,complete,,,,,,,,
ilxtr:neuron-type-bolew-unbranched-27,complete,,,,,,,,
ilxtr:neuron-type-bolew-unbranched-28,complete,,,,,,,,
ilxtr:neuron-type-bolew-unbranched-29,complete,,,,,,,,
ilxtr:neuron-type-sstom-14,complete,,,,,,,,
ilxtr:neuron-type-sstom-13,complete,,,,,,,,
ilxtr:neuron-type-sdcol-o,complete,,,,,,,,
ilxtr:neuron-type-sstom-12,complete,,,,,,,,
ilxtr:neuron-type-sstom-11,complete,,,,,,,,
ilxtr:sparc-nlp/prostate/24,complete,,,,,,,,
ilxtr:neuron-type-bolew-unbranched-25,complete,,,,,,,,
ilxtr:neuron-type-sstom-1,complete,,,,,,,,
ilxtr:neuron-type-sdcol-i,complete,,,,,,,,
ilxtr:neuron-type-bromo-3,complete,,,,,,,,
ilxtr:neuron-type-bromo-4,complete,,,,,,,,
ilxtr:neuron-type-bromo-5,complete,,,,,,,,
ilxtr:neuron-type-bromo-6,complete,,,,,,,,
ilxtr:neuron-type-keast-1,complete,,,,,,,,
ilxtr:neuron-type-sdcol-k,complete,,,,,,,,
ilxtr:neuron-type-keast-5,complete,,,,,,,,
ilxtr:neuron-type-sstom-3,complete,,,,,,,,
ilxtr:neuron-type-sstom-4,complete,,,,,,,,
ilxtr:neuron-type-keast-2,complete,,,,,,,,
ilxtr:neuron-type-aacar-9v,complete,,,,,,,,
ilxtr:neuron-type-aacar-4,complete,,,,,,,,
ilxtr:sparc-nlp/mmset1/4,complete,,,,,,,,
ilxtr:neuron-type-splen-3,complete,,,,,,,,
ilxtr:neuron-type-sstom-6,complete,,,,,,,,
ilxtr:neuron-type-aacar-7a,complete,,,,,,,,
ilxtr:neuron-type-aacar-7v,complete,,,,,,,,
ilxtr:neuron-type-aacar-8a,complete,,,,,,,,
ilxtr:neuron-type-aacar-8v,complete,,,,,,,,
ilxtr:neuron-type-aacar-9a,complete,,,,,,,,
ilxtr:neuron-type-aacar-2m,complete,,,,,,,,
ilxtr:neuron-type-aacar-2i,complete,,,,,,,,
ilxtr:neuron-type-aacar-10v,complete,,,,,,,,
ilxtr:neuron-type-bolew-unbranched-14,complete,,,,,,,,
ilxtr:neuron-type-aacar-10a,complete,,,,,,,,
ilxtr:neuron-type-bolew-unbranched-15,complete,,,,,,,,
ilxtr:sparc-nlp/mmset4/3a,missing,"('UBERON:0004713', ())
('ILX:0793834', ())
('ILX:0793807', ())
('ILX:0793823', ())","('corpus cavernosum penis', ())
('accessory pelvic ganglion', ())
('Penile cavernous nerve', ())
('major pelvic ganglion', ())","(('ILX:0793807', ()), ('UBERON:0004713', ()))
(('ILX:0793807', ()), ('ILX:0793823', ()))
(('ILX:0793807', ()), ('ILX:0793834', ()))","(('Penile cavernous nerve', ()), ('corpus cavernosum penis', ()))
(('Penile cavernous nerve', ()), ('major pelvic ganglion', ()))
(('Penile cavernous nerve', ()), ('accessory pelvic ganglion', ()))",,,,
ilxtr:sparc-nlp/mmset4/3b,missing,"('UBERON:0011183', ())
('ILX:0793834', ())
('ILX:0793807', ())
('ILX:0793823', ())","('corpus spongiosum of penis', ())
('accessory pelvic ganglion', ())
('Penile cavernous nerve', ())
('major pelvic ganglion', ())","(('ILX:0793807', ()), ('ILX:0793834', ()))
(('ILX:0793807', ()), ('ILX:0793823', ()))
(('ILX:0793807', ()), ('UBERON:0011183', ()))","(('Penile cavernous nerve', ()), ('accessory pelvic ganglion', ()))
(('Penile cavernous nerve', ()), ('major pelvic ganglion', ()))
(('Penile cavernous nerve', ()), ('corpus spongiosum of penis', ()))",,,,
