Neuron NPO,Completeness,Missing Nodes,Missing Node Name,Missing Edges,Missing Edge Name,Missing Segments,Missing Segment Name,Rendered Edges,Rendered Edge Name
ilxtr:neuron-type-bolew-unbranched-28,complete,,,,,,,,
ilxtr:neuron-type-bolew-unbranched-27,complete,,,,,,,,
ilxtr:neuron-type-sstom-1,complete,,,,,,,,
ilxtr:neuron-type-bolew-unbranched-29,complete,,,,,,,,
ilxtr:neuron-type-sdcol-l-prime,complete,,,,,,,,
ilxtr:neuron-type-sdcol-l,complete,,,,,,,,
ilxtr:neuron-type-sdcol-k,complete,,,,,,,,
ilxtr:neuron-type-sdcol-j-prime,complete,,,,,,,,
ilxtr:neuron-type-sdcol-j,complete,,,,,,,,
ilxtr:neuron-type-sdcol-i,complete,,,,,,,,
ilxtr:neuron-type-sdcol-h,complete,,,,,,,,
ilxtr:neuron-type-bolew-unbranched-25,complete,,,,,,,,
ilxtr:neuron-type-sdcol-g,complete,,,,,,,,
ilxtr:neuron-type-sdcol-f,complete,,,,,,,,
ilxtr:neuron-type-bromo-3,complete,,,,,,,,
ilxtr:neuron-type-sdcol-m,complete,,,,,,,,
ilxtr:neuron-type-bromo-4,complete,,,,,,,,
ilxtr:neuron-type-bromo-6,complete,,,,,,,,
ilxtr:neuron-type-keast-1,complete,,,,,,,,
ilxtr:neuron-type-sdcol-d,complete,,,,,,,,
ilxtr:sparc-nlp/mmset1/4,complete,,,,,,,,
ilxtr:neuron-type-sstom-6,complete,,,,,,,,
ilxtr:neuron-type-keast-2,complete,,,,,,,,
ilxtr:neuron-type-keast-20,complete,,,,,,,,
ilxtr:neuron-type-sstom-4,complete,,,,,,,,
ilxtr:neuron-type-sstom-3,complete,,,,,,,,
ilxtr:neuron-type-keast-5,complete,,,,,,,,
ilxtr:neuron-type-sstom-2,complete,,,,,,,,
ilxtr:neuron-type-sstom-14,complete,,,,,,,,
ilxtr:neuron-type-sstom-13,complete,,,,,,,,
ilxtr:neuron-type-sstom-12,complete,,,,,,,,
ilxtr:neuron-type-bromo-5,complete,,,,,,,,
ilxtr:neuron-type-bolew-unbranched-24,complete,,,,,,,,
ilxtr:neuron-type-sstom-11,complete,,,,,,,,
ilxtr:neuron-type-bolew-unbranched-22,complete,,,,,,,,
ilxtr:neuron-type-aacar-10a,complete,,,,,,,,
ilxtr:neuron-type-aacar-10v,complete,,,,,,,,
ilxtr:neuron-type-splen-3,complete,,,,,,,,
ilxtr:neuron-type-aacar-2i,complete,,,,,,,,
ilxtr:neuron-type-aacar-2m,complete,,,,,,,,
ilxtr:neuron-type-aacar-4,complete,,,,,,,,
ilxtr:neuron-type-aacar-7a,complete,,,,,,,,
ilxtr:neuron-type-bolew-unbranched-23,complete,,,,,,,,
ilxtr:neuron-type-aacar-8a,complete,,,,,,,,
ilxtr:neuron-type-aacar-8v,complete,,,,,,,,
ilxtr:neuron-type-aacar-9a,complete,,,,,,,,
ilxtr:neuron-type-aacar-9v,complete,,,,,,,,
ilxtr:neuron-type-aacar-7v,complete,,,,,,,,
